x1	x2	y
-7.79E-01	8.38E-01	1.00E+00
1.56E-01	8.95E-01	1.00E+00
-5.99E-02	-7.18E-01	1.00E+00
2.08E-01	7.59E-01	1.00E+00
-1.96E-01	-3.75E-01	-1.00E+00
5.88E-01	-8.43E-01	1.00E+00
7.20E-03	-5.48E-01	-1.00E+00
7.39E-01	-6.03E-01	1.00E+00
7.05E-01	-2.04E-02	1.00E+00
9.70E-01	6.41E-01	-1.00E+00
4.35E-01	7.45E-01	-1.00E+00
-8.44E-01	7.42E-01	1.00E+00
5.91E-01	-5.46E-01	1.00E+00
-6.91E-02	3.77E-02	-1.00E+00
-9.52E-01	-7.33E-01	-1.00E+00
-1.30E-01	7.57E-01	1.00E+00
-4.95E-01	-5.66E-01	-1.00E+00
-9.04E-01	5.09E-01	1.00E+00
2.92E-01	1.61E-01	-1.00E+00
6.48E-01	-7.79E-01	1.00E+00
3.76E-01	7.82E-02	-1.00E+00
2.46E-01	4.51E-03	-1.00E+00
-4.57E-01	4.24E-01	1.00E+00
-4.41E-01	7.06E-01	1.00E+00
5.07E-01	7.59E-01	-1.00E+00
-1.33E-01	-5.82E-01	-1.00E+00
-4.47E-01	1.96E-01	1.00E+00
8.17E-01	-4.54E-01	1.00E+00
-9.44E-01	8.83E-01	1.00E+00
4.63E-01	3.56E-01	-1.00E+00
8.83E-01	-1.99E-01	1.00E+00
1.00E+00	5.26E-01	-1.00E+00
6.04E-01	-5.46E-01	1.00E+00
-1.49E-01	-2.13E-01	-1.00E+00
1.17E-02	8.89E-01	1.00E+00
